"","datafilePath","md5sum","fileSize","biologicalCategory","organisation","patientId","projectName","protocol","technicalPlatform"
"19","/odin/kdi/dataset/2217394/archive/M2_C5_n2_S19_R1_001.fastq.gz","5884faf72e79d9bd7f6a080e172aaa90",2921465365,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"20","/odin/kdi/dataset/2217394/archive/M2_C5_n2_S19_R2_001.fastq.gz","a149b72b95efd3a0e7b5c0fd9ad78582",2989917140,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"21","/odin/kdi/dataset/2217395/archive/M2_Gilt_n1_S2_I1_001.fastq.gz","2367962ab65fe06173f94d0a271ab60e",599454700,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"22","/odin/kdi/dataset/2217395/archive/M2_Gilt_n1_S2_I2_001.fastq.gz","08de9cf89b4f8edbe18d2d79cd83c345",640347923,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"23","/odin/kdi/dataset/2217395/archive/M2_Gilt_n1_S2_R1_001.fastq.gz","43ce59939d5ed926da22d697a761f962",4826651137,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"24","/odin/kdi/dataset/2217395/archive/M2_Gilt_n1_S2_R2_001.fastq.gz","f330b5d1b5ca1e58b0c5ef09dd8363b7",4911631109,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"25","/odin/kdi/dataset/2217396/archive/M2_C3_n4_S35_I1_001.fastq.gz","fc3713700acacaf5aefb2c85def5cf4b",494484621,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"26","/odin/kdi/dataset/2217396/archive/M2_C3_n4_S35_I2_001.fastq.gz","75297139c390199f03bf06ec7f7d8747",467464469,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"27","/odin/kdi/dataset/2217396/archive/M2_C3_n4_S35_R1_001.fastq.gz","7dc220e735f65338361031e583e20080",3618081844,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
"28","/odin/kdi/dataset/2217396/archive/M2_C3_n4_S35_R2_001.fastq.gz","2ef8da85304577b515ad2b5349cffca5",3699802610,"transcriptomics","Plateforme de Genomique Recherche",NA,"P37_ARJA_1|SHARING_P37_ARJA_1|mooseQC","mRNA-seq","NovaSeq"
